"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:ARSKICKER1","Thanks bud!","Milesker, txo!"
"traveler:ARSKICKER1","Do not forget to root for us at regionals.","Ez ahaztu erregionaletan gure alde egitea."
"traveler:ARSKICKER1","Ok. Well.","Ados. Ongi."
"traveler:ARSKICKER1","That is messed up.","Ulertezina da."
"traveler:ARSKICKER1","At least you give banner back right?","Gutxienez pankarta itzuliko didazu, ezta?"
"traveler:ARSKICKER1","At least you give banner back.","Gutxienez pankarta itzuli didazu."
"traveler:ARSKICKER1","@The banner is mine now.","@Pankarta nirea da orain."
"traveler:ARSKICKER1","Oh boy.","Zer diozu."
"traveler:ARSKICKER1","Such an asshole here.","Nola izan zaitezke horren alua."
"traveler:ARSKICKER1","If guards do not kill me, coach will.","Guardek ez banaute hiltzen, entrenatzaileak hilko nau."
"traveler:BUSTED_SPY","I have not much time.","Ez dut asti askorik."
"traveler:BUSTED_SPY","You must hold on to these.","Hau gorde behar duzu."
"traveler:BUSTED_SPY","Keep them safe today.","Gorde gaur leku seguruan."
"traveler:BUSTED_SPY","I am being followed by an imposter.","Iruzurgile bat dator nire atzetik."
"traveler:BUSTED_SPY","They pretend to be from the Ministry of Information but it is a lie.","Informazio Ministeriotik datorrela esango dizu, baina gezurra da."
"traveler:BUSTED_SPY","If they ask for documents, give these instead.","Dokumentuak eskatzen badizkizu, emazkiozu hauek."
"traveler:BUSTED_SPY","Do not mix them up.","Ez itzazu nahasi."
"traveler:BUSTED_SPY_FOLLOWER","@Your papers?","@Zure paperak?"
"traveler:BUSTED_SPY_FOLLOWER","I am from the Ministry of Information.","Informazio Ministeriokoa naiz."
"traveler:BUSTED_SPY_FOLLOWER","You have something to give us.","Zerbait duzu guri emateko."
"traveler:BUSTED_SPY_FOLLOWER","Perfect.","Bikain."
"traveler:GYM_INSTRUCTOR","You are skin and bones.","Hezurra eta azala baino ez duzu."
"traveler:GYM_INSTRUCTOR","Bet you have no real strength.","Ziur ez duzula indarrik ere."
"traveler:GYM_INSTRUCTOR","Come to gym, I make you big.","Zatoz gymera, nik gizonduko zaitut."
"traveler:GYM_INSTRUCTOR","I guarantee you get big at Get Big Town.","Handi egingo zaitut Handien Hirian."
"traveler:GYM_INSTRUCTOR","Is what we do.","Hori da gure lana."
"traveler:GYM_INSTRUCTOR","Denied? Hah.","Ukatua? Ja."
"traveler:GYM_INSTRUCTOR","This is what I expect from skinny weakling.","Ezin besterik espero hezur-huts ahulengandik."
"traveler:OLD_INSPECTOR","I used to be an inspector like you.","Ni ikuskatzailea izan nintzen, zu bezala."
"traveler:OLD_INSPECTOR","Many years ago. Back in United Fed.~","Orain urte asko. Federazio Batuan.~"
"traveler:OLD_INSPECTOR","We denied most people.~","Gehienei sarrera ukatzen genien.~"
"traveler:OLD_INSPECTOR","It is all done by computers now.","Orain dena konputagailuekin kontrolatzen dute."
"traveler:OLD_INSPECTOR","They can deny much faster that way.","Horrela bizkorrago ukatzen da."
"traveler:OLD_INSPECTOR","Good luck.","Zorte on."
"traveler:OLD_INSPECTOR","I do not miss it.","Ez dut faltan botatzen."
"traveler:OLD_INSPECTOR","What? Why am I denied?~","Zer? Zergatik ukatua?~"
"traveler:OLD_INSPECTOR","So this is what it feels like.~","Beraz, hau da sentitzen dena.~"
"traveler:OLD_INSPECTOR","@Where is entry permit?","@Non dago onarpen baimena?"
"traveler:OLD_INSPECTOR","Eh, it does not matter what I say.","Ei, bost axola zer diodan."
"traveler:OLD_INSPECTOR","Just deny the visa and I will go.","Ukatu sarrera eta joan egingo naiz."
"traveler:RED_STAMP","Red stamp.","Zigilu gorria."
"traveler:RED_STAMP","@What?","@Zer?"
"traveler:RED_STAMP","Give me red stamp.","Emadazu zigilu gorria."
"traveler:RED_STAMP","I am serious.","Benetan nabil."
"traveler:RED_STAMP","I have better job offer in Impor.","Lan-eskaintza hobea dut Imporren."
"traveler:RED_STAMP","Red stamp and I can break contract in Arstotzka.","Zigilu gorria, eta Arstotzkako kontratua eten ahalko dut."
"traveler:RED_STAMP","10 credits for you.","10 kreditu zuretzat."
"traveler:RED_STAMP","Damn it.","Arraioa."
"traveler:RED_STAMP","I am sure you deny people all day.","Ziur naiz eguna sarrera ukatzen ematen duzula."
"traveler:RED_STAMP","Why not now?","Zergatik orain ez?"
"traveler:RED_STAMP","I figure something else out.","Okurrituko zait beste zerbait."
"traveler:RED_STAMP","Ok, now I get free from this bad job.","Bikain, orain lan txar hau utziko dut."
"traveler:RED_STAMP","Thanks.","Eskerrik asko."
"traveler:NEED_SURGERY","I come for medical reasons.","Osasun arrazoiengatik nator."
"traveler:NEED_SURGERY","@Your papers are missing.","@Ez duzu paperik."
"traveler:NEED_SURGERY","Please.","Mesedez."
"traveler:NEED_SURGERY","Surgery I need is outlawed in Kolechia.","Behar dudan ebakuntza debekatua dago Kolechian."
"traveler:NEED_SURGERY","Even so, I do not trust doctors there.","Gainera, ez naiz hemengo doktoreez fio."
"traveler:NEED_SURGERY","Only Arstotzka have skilled surgeons.","Arstotzkak soilik ditu zirujau trebatuak."
"traveler:NEED_SURGERY","@You do not have the right documents.","@Ez dauzkazu beharrezko dokumentuak."
"traveler:NEED_SURGERY","Yes.","Hala da."
"traveler:NEED_SURGERY","They will not give papers for surgery.","Ez dute paperik ematen ebakuntzetarako."
"traveler:NEED_SURGERY","Thank you. I will not forget this.","Milesker. Ez dut hau ahaztuko."
"traveler:NEED_SURGERY","I expected this.","Espero nuena."
"traveler:NEED_SURGERY","I do not know how long I survive.","Ez dakit zenbat denbora gehiago biziraungo dudan."
"traveler:NEED_SURGERY","But you do not care.~","Baina zuri bost.~"
"traveler:NEED_SURGERY","I hope you are not in same place as me.","Espero dut inoiz ez zarela ni nagoen tokian egongo."
"traveler:LOVE_SONG","I will leave this here.","Hau zuretzat."
"traveler:LOVE_SONG","Great!","Bikain!"
"traveler:LOVE_SONG","You really super guy!~","Kriston tipoa zara!~"
"traveler:LOVE_SONG","Can I have note back now?","Itzuliko didazu oharra orain?"
"traveler:LOVE_SONG","I need it for next inspector.","Hurrengo ikuskatzailearentzat beharko dut."
"traveler:LOVE_SONG","But I give you such lovely note!","Baina hain ohar maitagarria eman dizut...!"
"traveler:LOVE_SONG","Thanks and like I say, you super guy.","Milesker. Esan bezala, kriston tipoa."
"traveler:LOVE_SONG","Do not forget.","Ez ahaztu."
"traveler:LOVE_SONG","Is too much?","Gehiegi da?"
"traveler:LOVE_SONG","@Yes.","@Bai."
"traveler:LOVE_SONG","Is too much. I can see that now.","Gehiegi da. Orain badakit."
"traveler:LOVE_SONG","Next time I make couple copies first.","Hurrengorako lehenengo kopiak aterako ditut."
"traveler:LOVE_SONG_LONELY","Life sucks.","Gorroto dut bizitza."
"traveler:LOVE_SONG_LONELY","Nobody loves me.","Inork ez nau maite."
"traveler:LOVE_SONG_LONELY","For me?","Niretzat?"
"traveler:LOVE_SONG_LONELY","Like fire?","Sugarra?"
"traveler:LOVE_SONG_LONELY","Object of desire?","Zure desiren helburu?"
"traveler:LOVE_SONG_LONELY","Wow, nobody say such nice things!","Uou, ze atsegina!"
"traveler:LOVE_SONG_LONELY","Part about visa is confusing but rest is very powerful.","Bisari buruzko zatia ez dut ulertu, baina beste dena zoragarria da."
"traveler:LOVE_SONG_LONELY","Thank you!","Eskerrik asko!"
"traveler:LOVE_SONG_LONELY","Thank you again!","Eskerrik asko berriro!"
"traveler:LOVE_SONG_LONELY","Thanks I guess.","Eskerrik asko, esan beharko."
"traveler:LOVE_SONG_LONELY","No problem!","Ondo da!"
"traveler:LOVE_SONG_LONELY","Today is good day anyway!","Gaurkoa egun ona da, dena den!"
"traveler:LOVE_SONG_LONELY","Even you hate me.","Zuk ere gorroto nauzu."
"traveler:LOVE_SONG_LONELY","Some guy I do not even know.","Ezagutzen ez nauzun arren."
"traveler:KOLECHIAN_HATER","It was a mistake to open this checkpoint.","Akats larria izan da kontrolgune hau irekitzea."
"traveler:FINALLY_RETURN_HOME","Finally I can return home.","Azkenean etxera itzul naiteke."
"traveler:FINALLY_RETURN_HOME","You bastard.","Sasikumea."
"traveler:FINALLY_RETURN_HOME","Thank you.","Milesker."
"traveler:SMALL_CHECKPOINT","This checkpoint is smaller than I expected.","Kontrolgune hau espero baino txikiagoa da."
"traveler:WAITED_FOREVER","I have waited in this damn line since for 8 hours.","8 ordu daramatzat ilara honetan zain."
"traveler:WAITED_FOREVER","I hope it was worth it.","Merezi izatea espero dut."
"traveler:WAITED_FOREVER","Unbelievable. Go to hell.","Sinestezina. Zoaz infernura."
"traveler:HURRY_UP","Hurry up.","Bizkor."
"traveler:HURRY_UP","I am meeting bus soon.","Busa hartu behar dut laster."
"traveler:HURRY_UP","What is this?","Zer da hau?"
"traveler:HURRY_UP","Finally.","Azkenean."
"traveler:GLAD_YOU_HAVE_JOB","I heard about terrorist attack.","Entzun dut eraso terroristarena."
"traveler:GLAD_YOU_HAVE_JOB","You are lucky to have a job still.","Zortekoa zara oraindik lana duzulako."
"traveler:GLAD_YOU_HAVE_JOB","Be safe.","Zaindu."
"traveler:TICKET_NOT_PERMIT","What? I do not know. To visit?","Zer? Ez dakit. Bisitan?"
"traveler:TICKET_NOT_PERMIT","A few days maybe.","Egun batzutarako agian."
"traveler:TICKET_NOT_PERMIT","Entry permit? I have ticket here.","Onarpen baimena? Tiketa daukat hemen."
"traveler:TICKET_NOT_PERMIT","Let me through.","Utzi pasatzen."
"traveler:TICKET_NOT_PERMIT","@Ticket is not enough any more.","@Tiketa ez da nahikoa jadanik."
"traveler:TICKET_NOT_PERMIT","@Get a permit.","@Lortu baimena."
"traveler:TICKET_NOT_PERMIT","Bullshit!","Putza!"
"traveler:TICKET_NOT_PERMIT","I paid good money for ticket.","Dirutza ordaindu dut tiketagatik."
"traveler:VISIT_SON","I am so happy that the border has opened.","Oso pozik nago muga ireki dutelako."
"traveler:VISIT_SON","I will visit my son. I have not seen him in six years. [Speech/Purpose]","Nire semea bisitatuko dut. Sei urte dira ikusi ez dudala. [Speech/Purpose]"
"traveler:VISIT_SON","6 months. [Speech/Duration]","6 hilabete. [Speech/Duration]"
"traveler:VISIT_SON","Please, let me pass. My son is waiting.","Mesedez, utzi pasatzen. Semea zain dut."
"traveler:VISIT_SON","Thank you.","Eskerrik asko."
"traveler:VISIT_SON","Curse you.","Madarikatua."
"traveler:DETAIN_FIRST","Hey wait.","Ei, itxaron."
"traveler:DETAIN_FIRST","Do not arrest me, please.","Ez nazazu atxilotu, mesedez."
"traveler:DETAIN_FIRST","Just deny my passport and I will go away.","Ukatu sarrera eta alde egingo dut."
"traveler:HATE_COUNTRY","It is not my choice. I hate this damn country.","Ez nator gustoz. Gorroto dut herrialde nazkagarri hau."
"traveler:HATE_COUNTRY","I am just passing through. [Speech/Purpose]","Beste norabaitera bidean noa. [Speech/Purpose]"
"traveler:HATE_COUNTRY","As little as possible. 2 days. [Speech/Duration]","Ahalik gutxien. 2 egun. [Speech/Duration]"
"traveler:HATE_COUNTRY","Ugh.","Ugh."
"traveler:HATE_COUNTRY","Just as well.","Bost axola."
"traveler:SEARCH_BRIBE_INTRO","Slow down my friend.","Lasai, laguna."
"traveler:SEARCH_BRIBE_INTRO","I have only harmless medicine.","Sendagaiak baino ez ditut."
"traveler:SEARCH_BRIBE_INTRO","I give you 10 credits to let me through.","10 kreditu emango dizkizut pasatzen utziz gero."
"traveler:SEARCH_BRIBE_INTRO","Excellent.","Zoragarri."
"traveler:SEARCH_BRIBE_INTRO","As I promised.","Hitzeman bezala."
"traveler:SEARCH_BRIBE_INTRO","Why you turn down good money?","Zergatik baztertzen duzu dirua?"
"traveler:SEARCH_BRIBE_INTRO","@You are lucky to escape arrest.","@Poztu atxilotu ez zaitugulako."
"traveler:SEARCH_BRIBE_INTRO","@Do not come back.","@Ez etorri berriz."
"traveler:SEARCH_BRIBE_INTRO","@You cannot bribe an officer of Arstotzka.","@Ezin duzu Arstotzkako ofizial bat erosi."
"traveler:SEARCH_BRIBE_INTRO","They must pay well for such obedience, dog.","Ondo ordainduko ahal dizute obedientziagatik, zakurra."
"traveler:TWO_PASSPORTS","Shit!","Kaka!"
"traveler:TWO_PASSPORTS","I make small mistake.","Akats txikia egin dut."
"traveler:TWO_PASSPORTS","Please give documents back.","Eman dokumentuak bueltan, mesedez."
"traveler:TWO_PASSPORTS","@Why do you have two passports?","@Zergatik dituzu bi pasaporte?"
"traveler:TWO_PASSPORTS","Is funny story.","Istorio kuriosoa da."
"traveler:TWO_PASSPORTS","I tell you everything.","Kontatuko dizut."
"traveler:TWO_PASSPORTS","First, you give papers back to me.","Aurrena bueltatu paperak."
"traveler:TWO_PASSPORTS","And the others?","Eta besteak?"
"traveler:TWO_PASSPORTS","Last one please.","Azkena ere bai, mesedez."
"traveler:IDSUPPLEMENT_COMPLAIN","This id supplement is total pain.","Nortasun gehigarriarena amesgaizto bat da."
"traveler:IDSUPPLEMENT_COMPLAIN","Was not easy to get and only lasts few days.","Lortzeko zaila izan da eta egun batzutarako baino ez du balio."
"traveler:IDSUPPLEMENT_COMPLAIN","You Arstotzkans just make it harder and harder.","Arstotzkarrok gero eta zailago jartzen diguzue."
"traveler:IDSUPPLEMENT_COMPLAIN","Why even have open border?","Zergatik ireki muga horretarako?"
"traveler:IDSUPPLEMENT_COMPLAIN","Bah.","Bo."
"traveler:IDSUPPLEMENT_COMPLAIN","Would be better to spend money on bribe.","Hobe nuen dirua zu erosten gastatzea."
"traveler:IDSUPPLEMENT_COMPLAIN","Less trouble and faster.","Errazagoa eta bizkorragoa."
"traveler:IDSUPPLEMENT_COMPLAIN","I knew it would not even work.","Banekien alperrik izango zela."
"traveler:CRIMINAL_FIRST","@Funny to see you here.","@Kuriosoa zu hemen ikustea."
"traveler:CRIMINAL_FIRST","@Just when starting to look for criminals.","@Gaizkile bila hasi garen unean."
"traveler:CRIMINAL_FIRST","Criminals?","Gaizkileak?"
"traveler:CRIMINAL_FIRST","What are you saying?","Zer diozu?"
"traveler:DENIAL_REASON_FIRST","Denied?","Ukatua?"
"traveler:DENIAL_REASON_FIRST","For what reason?","Zer dela-eta?"
"traveler:DENIAL_REASON_FIRST","@It is clearly stamped there.","@Zigilu horretan jartzen du."
"traveler:DENIAL_REASON_FIRST","Oh.~","Oh.~"
"traveler:DENIAL_REASON_FIRST","Screw you anyways.","Zoaz pikutara."
"traveler:NO_IMPORIANS_FIRST","@Imporians are prohibited from entering.","@Importarrak ezin dira sartu."
"traveler:NO_IMPORIANS_DAY","@Imporians are prohibited from entering.","@Importarrek sarrera ukatua dute."
"traveler:NO_UNITEDFED_FIRST","@Do not bring your sickness to Arstotzka.","@Ez ekarri zure gaitzak Arstotzkara."
"traveler:NO_UNITEDFED_FIRST","What?","Zer?"
"traveler:NO_UNITEDFED_FIRST","I am perfectly healthy.","Ez dut osasun arazorik."
"traveler:NO_UNITEDFED_FIRST","It is so easy to deny entry.","Zein erraza den sarrera ukatzea."
"traveler:NO_UNITEDFED_FIRST","All this paperwork is wasted.","Tramite guzti hauek alperrik."
"traveler:NO_UNITEDFED","@Do not bring your sickness to Arstotzka.","@Ez ekarri zure gaitzak Arstotzkara."
"traveler:NO_UNITEDFED","What?","Zer?"
"traveler:NO_UNITEDFED","I am perfectly healthy.","Ez dut osasun arazorik."
"traveler:NO_UNITEDFED","It is so easy to deny entry.","Zein erraza den sarrera ukatzea."
"traveler:NO_UNITEDFED","All this paperwork is wasted.","Tramite guzti hauek alperrik."
"traveler:CONFISCATION_DISTRICT_FIRST","Thank you. It is good to be back home.","Eskerrik asko. Pozgarria da etxera itzultzea."
"traveler:CONFISCATION_DISTRICT_FIRST","I am leaving for trip soon so I just need my passport back.","Bidaia bat egin behar dut laster, beraz, pasaportea behar dut bueltan."
"traveler:CONFISCATION_DISTRICT_FIRST","@It is being confiscated.","@Konfiskatua izan da."
"traveler:CONFISCATION_DISTRICT_FIRST","What do you mean?","Zer diozu?"
"traveler:CONFISCATION_DISTRICT_FIRST","@Contact number on slip for recovery.","@Deitu papereko zenbakira berreskuratzeko."
"traveler:CONFISCATION_DISTRICT_FIRST","You can just hand it back.","Bueltadazu eta kito."
"traveler:CONFISCATION_DISTRICT_FIRST","@It has been filed. I cannot give it back.","@Artxibatua izan da. Ezin dizut bueltatu."
"traveler:CONFISCATION_DISTRICT_FIRST","I am not leaving without passport.","Ez noa hemendik nire pasaportea gabe."
"traveler:CONFISCATION_DISTRICT_FIRST","Where is my passport?","Non da nire pasaportea?"
"traveler:CONFISCATION_DISTRICT_FIRST","You deny entry and take passport?","Sarrera ukatu eta pasaportea kentzen didazu?"
"traveler:CONFISCATION_DISTRICT_FIRST","What am I supposed to do?","Zer egin behar dut orain?"
"traveler:CONFISCATION_DISTRICT_FIRST","@Contact number on slip.","@Deitu papereko zenbakira."
"traveler:CONFISCATION_DISTRICT_FIRST","You cannot do this to me!","Ezin didazu hau egin!"
"traveler:CONFISCATION_DISTRICT_FIRST","I am Arstotzkan citizen.","Arstotzkako herritarra naiz."
"traveler:CONFISCATION_DISTRICT_FIRST","I have right to travel freely.","Libreki bidaiatzeko eskubidea dut."
"traveler:WHISTLEBLOWER","Thank you.","Milesker."
"traveler:WHISTLEBLOWER","I hope that things are better here.","Bizitza hobe bat espero dut hemen."
"traveler:WHISTLEBLOWER","What? I was promised asylum here.","Zer? Asiloa emango zidatela esan zidaten."
"traveler:WHISTLEBLOWER","I have nowhere else to go.","Ez dut nora joanik."
"traveler:WHISTLEBLOWER","@This is not my problem.","@Ez da nire arazoa."
"traveler:ACCESSPERMIT_FIRST","You Arstotzkans keep changing rules here.","Arstotzkarrok etengabe arauak aldatzen zabiltzate."
"traveler:ACCESSPERMIT_FIRST","My sister came through last week with different documents.","Joan den astean nire arrebari sarrera baimendu zenioten beste dokumentu batzuekin."
"traveler:ACCESSPERMIT_FIRST","Now I need new access permit.","Orain sarrera baimen berria behar dut."
"traveler:ACCESSPERMIT_FIRST","Costs twice as much as before.","Lehen balio zuena halako bi balio du orain."
"traveler:ACCESSPERMIT_WRONG","What the hell is access permit?","Zer ostia da sarrera baimena?"
"traveler:ACCESSPERMIT_WRONG","Do you mean entry permit?","Onarpen baimena esan nahi duzu?"
"traveler:ACCESSPERMIT_WRONG","I have it there.","Hemen daukat."
"traveler:ACCESSPERMIT_WRONG","@I mean access permit.","@Sarrera baimena esan nahi dut."
"traveler:ACCESSPERMIT_WRONG","Never heard of it. Sounds stupid.","Inoiz ez dut entzun halakorik. Txorakeria dirudi."
"traveler:ACCESSPERMIT_WRONG","@Entry permit and supplement are no longer accepted.","@Onarpen baimena eta gehigarria dagoeneko ez dira onartzen."
"traveler:ACCESSPERMIT_WRONG","@Access permit replaces them.","@Sarrera baimenak ordezkatzen ditu."
"traveler:ACCESSPERMIT_WRONG","@Makes my job easier.","@Lana errazten dit."
"traveler:ACCESSPERMIT_WRONG","I do not care about your job.","Bost axola niri zure lana."
"traveler:ACCESSPERMIT_WRONG","Damnit.","Madarikatua."
"traveler:STRICT_BORDER","I've heard this is very strict checkpoint.","Kontrolgune honetan oso zorrotzak zaretela entzun dut."
"traveler:STRICT_BORDER","I am glad my papers are in order.","Pozten naiz nire paperak ondo daudelako."
"traveler:DESPERATE_BEFORECLOSE","I have heard the border will close.","Muga itxiko dutela entzun dut."
"traveler:DESPERATE_BEFORECLOSE","My access permit will not arrive in time.","Nire sarrera baimena ez da garaiz iritsiko."
"traveler:DESPERATE_BEFORECLOSE","Please have mercy.","Erruki nitaz, arren."
"traveler:DESPERATE_BEFORECLOSE","Yes I know. I just told you that.","Bai. Badakit. Esan dizut."
"traveler:DESPERATE_BEFORECLOSE","I am afraid the border will close before I can enter.","Beldur naiz sartu baino lehen muga itxiko ez ote duten."
"traveler:WALLCOMMENT_PLAQUEONE","What is this plaque on the wall?","Zer da hormako plaka hori?"
"traveler:WALLCOMMENT_PLAQUEONE","You are recognized for presence?","Presentzia aitorpena egin dizute?"
"traveler:WALLCOMMENT_PLAQUEONE","Way to go.","Oso ondo."
"traveler:WALLCOMMENT_PLAQUEONE","What is this on the wall?","Zer da hormako hori?"
"traveler:WALLCOMMENT_PLAQUEONE","Recognized for sufficience?","Nahikotasun aitorpena egin dizute?"
"traveler:WALLCOMMENT_PLAQUEONE","Impressive. Why even bother with plaque?","Txundigarria. Zergatik hartu duten plaka egiteko lana ere..."
"traveler:WALLCOMMENT_PLAQUEONE","You are recognized for excellence?","Bikaintasun aitorpena egin dizute?"
"traveler:WALLCOMMENT_PLAQUEONE","I hope they give you raise and not just plaque.","Espero dut plaka bat soilik eman beharrean soldata igoko dizutela."
"traveler:WALLCOMMENT_PLAQUEONE","Find a better plaque.","Bilatu plaka hobe bat."
"traveler:WALLCOMMENT_PLAQUEONE","This one looks like cheap shit.","Horrek merkezurrekoa dirudi."
"traveler:WALLCOMMENT_PLAQUEONE","Figures.","Pentsa."
"traveler:WALLCOMMENT_PLAQUEONE","You are like this plaque.","Zu ere plaka hori modukoa zara."
"traveler:WALLCOMMENT_PLAQUEONE","Cheap shit.","Merkezurrekoa."
"traveler:WALLCOMMENT_PLAQUEONE","What the hell?","Baina ze ostia?"
"traveler:WALLCOMMENT_ARSKICKER","Nice banner!","Pankarta ederra!"
"traveler:WALLCOMMENT_ARSKICKER","I remember that game.","Gogoan dut joko hura."
"traveler:WALLCOMMENT_ARSKICKER","Intense.","Oso bizia."
"traveler:WALLCOMMENT_ARSKICKER","Go Arskickers!","Aurrera Arskickers!"
"traveler:WALLCOMMENT_ARSKICKER","What the hell?","Mila deabru!"
"traveler:WALLCOMMENT_ARSKICKER","I thought we have Arskickers connection.","Uste nuen Arskickers konexioa geneukala."
"traveler:WALLCOMMENT_SONDRAWING","What is this drawing on the wall?","Zer da hormako marrazki hori?"
"traveler:WALLCOMMENT_SONDRAWING","My dog can do better.","Nire txakurrak hobeto marrazten du."
"traveler:WALLCOMMENT_SONDRAWING","@It is from my son.","@Nire semeak egin du."
"traveler:WALLCOMMENT_SONDRAWING","Oh.~","Oh.~"
"traveler:WALLCOMMENT_SONDRAWING","Maybe he should try sports.","Beharbada ona izango da kirolean."
"traveler:WALLCOMMENT_SONDRAWING","Thanks.","Milesker."
"traveler:WALLCOMMENT_SONDRAWING","The drawing is not so bad really.","Egia esan, marrazkia ez da horren txarra."
"traveler:WALLCOMMENT_SONDRAWING","I was just in rough mood. Sorry.","Aldarte txarrez nengoen. Barkatu."
"traveler:WALLCOMMENT_SONDRAWING","Huh?","Zer?"
"traveler:WALLCOMMENT_SONDRAWING","You deny me for comment about drawing, right?","Marrazkiari buruz esandakoagatik ukatu didazu sarrera, ezta?"
"traveler:WALLCOMMENT_SONDRAWING","@The exit is to your right.","@Irteera zure eskumatara duzu."
"traveler:WALLCOMMENT_SONDRAWING","What are you doing?","Zertan ari zara?"
"traveler:WALLCOMMENT_SONDRAWING","Is this because I make fun of drawing?","Marrazkiaz trufatu naizelako da hau?"
"traveler:WALLCOMMENT_SONDRAWING","I take it back!","Esana zuzentzen dut!"
"traveler:WALLCOMMENT_SONDRAWING","Picture should be in museum!","Marrazki honek museo batean behar luke!"
"traveler:WALLCOMMENT_FAMILYPHOTO","I like picture on wall here.","Gustoko dut hormako argazkia."
"traveler:WALLCOMMENT_FAMILYPHOTO","Reminds me of how my family was.","Nire familia gogorarazten dit."
"traveler:WALLCOMMENT_FAMILYPHOTO","Thank you.","Milesker."
"traveler:WALLCOMMENT_FAMILYPHOTO","Take care of your family.","Zaindu zure familia."
"traveler:WALLCOMMENT_FAMILYPHOTO","It is too easy to lose them.","Errazegia da haiek galtzea."
"speech:ask-purpose","What is the purpose of your trip?","Zein da zure bidaiaren helburua?"
"speech:state-purpose","Visiting.","Bisitan nator."
"speech:state-purpose","Just visiting.","Bisitaldia soilik."
"speech:state-purpose","I am visiting relatives.","Senideak bisitatzera nator."
"speech:state-purpose","Visiting friends.","Lagunak bisitatzea."
"speech:state-purpose","I come for visit.","Bisitatzera nator."
"speech:state-purpose","Only to visit.","Bisitan baino ez."
"speech:state-purpose","I will visit friends.","Lagunak bisitatuko ditut."
"speech:state-purpose","Transit.","Igarotzea."
"speech:state-purpose","I pass through.","Pasaeran nator."
"speech:state-purpose","Transit through the country.","Herrialdea igaro behar dut."
"speech:state-purpose","I am transiting to elsewhere.","Beste norabaitera pasaeran."
"speech:state-purpose","Transit through Arstotzka.","Arstotzkan zehar igarotzea."
"speech:state-purpose","Passing through.","Bertatik igarotzea."
"speech:state-purpose","I am in transit.","Bertatik pasatzea."
"speech:state-purpose","Work.","Lana."
"speech:state-purpose","I come to work.","Lanera nator."
"speech:state-purpose","I have job here.","Lana daukat hemen."
"speech:state-purpose","I plan to work.","Lanerako asmotan nator."
"speech:state-purpose","Immigrating.","Immigratzea."
"speech:state-purpose","I am immigrating to Arstotzka.","Arstotzkara immigratzera nator."
"speech:state-purpose","I will move here.","Bertan gelditzea."
"speech:state-purpose","I am coming to live with my husband.","Senarrarekin bizitzera nator."
"speech:state-purpose","I am coming to live with my wife.","Emaztearekin bizitzera nator."
"speech:state-purpose","I am diplomatic envoy.","Diplomazialaria naiz."
"speech:state-purpose","I was called to diplomatic discussions.","Eztabaida diplomatikoetarako deitu naute."
"speech:state-purpose","My presence was requested.","Nire presentzia eskatu dute."
"speech:state-purpose","I am seeking asylum.","Asilo bila nator."
"speech:state-purpose","I come for political asylum.","Asilo politikoa eskatzera nator."
"speech:state-purpose","Asylum.","Asiloa."
"speech:ask-wrong-purpose","This entry permit is for work.","Onarpen baimen hau lan egiteko da."
"speech:ask-wrong-purpose","You are authorized for transit only.","Igarotzeko baimena baino ez duzu."
"speech:ask-wrong-purpose","You have only a visitors entry permit.","Bisitaldi bat egiteko baimena baino ez duzu."
"speech:ask-wrong-purpose","This entry permit is for immigrating.","Onarpen baimen hau immigratzeko da."
"speech:ask-wrong-purpose","Your entry purpose does not match up.","Zure onarpenaren helburua ez dator bat."
"speech:ask-wrong-purpose","This entry permit purpose does not match.","Zure onarpen baimeneko helburua ez dator bat."
"speech:mistake-prefix","Right.","Egia."
"speech:mistake-prefix","I make mistake.","Erratu egin naiz."
"speech:mistake-prefix","Yes, of course.","Bai, noski."
"speech:mistake-prefix","Apologies.","Barkatu."
"speech:wrong-purpose","$mistake-prefix I am just visiting.","$mistake-prefix Bisitan nator."
"speech:wrong-purpose","$mistake-prefix I just pass through.","$mistake-prefix Pasaeran nator."
"speech:wrong-purpose","$mistake-prefix I have come to work.","$mistake-prefix Lan egitera nator."
"speech:wrong-purpose","$mistake-prefix I move here permanently.","$mistake-prefix Bertan gelditzera nator."
"speech:ask-duration","Duration of stay?","Egonaldiaren iraupena?"
"speech:random-stay","I stay","izango da."
"speech:random-stay","I remain for","..."
"speech:random-stay","It will be","geldituko naiz."
"speech:state-duration","$random-stay forever.","Betiko $random-stay"
"speech:state-duration","$random-stay until I die.","Hil arte $random-stay"
"speech:state-duration","I don't plan to leave.","Ez dut bueltatzeko asmorik."
"speech:state-duration","$random-stay just 2 days.","2 egunerako $random-stay"
"speech:state-duration","$random-stay couple days.","Egun pare baterako $random-stay"
"speech:state-duration","$random-stay just 14 days.","14 egunerako soilik $random-stay"
"speech:state-duration","$random-stay couple weeks.","Aste pare baterako $random-stay"
"speech:state-duration","$random-stay only two weeks.","Bi asterako soilik $random-stay"
"speech:state-duration","$random-stay 30 days.","30 egunerako $random-stay"
"speech:state-duration","$random-stay a few weeks.","Aste batzutarako $random-stay"
"speech:state-duration","$random-stay one month.","Hilabeterako $random-stay"
"speech:state-duration","$random-stay 60 days.","60 egunerako $random-stay"
"speech:state-duration","$random-stay 8 weeks.","8 asterako $random-stay"
