Context Note (not to translate),Speaker,English,Japanese,Korean,Simplified Chinese,Russian,Italian,French,German,Portuguese,Spanish,Traditional Chinese,Polish,Norwegian,Basque,File name,Line number
,Alphonse,A gigantic research facility in the sky<nl>built without the knowledge of the world at large.,誰の目も届かない大空に築かれた、<nl>巨大研究施設。,세상의 이치에 대한 지식 없이 하늘에<nl>지어진 거대한 실험 시설.,天空中巨大的研究设施，<nl>建造时还不知道任何关于这个世界的知识。,"Громадный исследовательский центр в небе,<nl>построенный без полноценных знаний о мире.","Un enorme centro di ricerca costruito sull’orlo estremo<nl>dell’atmosfera, all'insaputa del resto del mondo.","Ikerkuntza zentro handi bat zeruan,<nl>munduan ia inork jakin gabe eraikia.","Eine gigantische Forschungsstation am Himmel,<nl>ohne Wissen über die Welt im Ganzen gebaut.","Uma instalação de pesquisas no céu gigantesca,<nl>construída sem o resto do mundo saber.","Un gran centro de investigación en el<nl>cielo, construido sin el conocimiento del resto del mundo.",天空中巨大的研究設施，<nl>建造時還不知道任何關於這個世界的知識。,"Gigantyczny ośrodek badawczy w chmurach,<nl>zbudowany w odcięciu od świata.","Et gigantisk forskningsanlegg bygget<nl>i himmelen, utenfor folks rekkevidde.","Ikerkuntza zentro handi bat zeruan,<nl>munduan ia inork jakin gabe eraikia.",Dungeon3/book3,94
,Alphonse,"The last few Owls gathered here, far away<nl>from the famines and wars elsewhere.",飢えや争いとは無縁のこの場所に、<nl>最後のフクロウたちが集まった。,기근이나 전쟁 등의 이유로 도망쳐 나온<nl>얼마 남지 않은 소수의 아울들이 이곳에 모였다.,最后的猫头鹰聚集在此，<nl>远离其他地区的饥荒与战争。,"Немногие оставшиеся в мире совы собрались там,<nl>вдали от голода, войн и бедствий.","Gli ultimi grandi Gufi si radunarono qui, lontani dalle guerre e dalle carestie.","Gelditzen ziren azken hontzak hemen elkartu ziren,<nl>beste lekuetako gosete eta gerretatik urruti.","Die letzten verbliebenen Eulen haben sich hier versammelt,<nl>weit weg von den Hungersnöten und Kriegen andernorts.","As últimas Corujas vieram para cá, longe<nl>da fome e da guerra.","Los últimos búhos se reunieron aquí, lejos de<nl>las guerras y el hambre.",最後的貓頭鷹聚集在此，<nl>遠離其他地區的饑荒與戰爭。,"Kilka ostatnich sów zebrało się tutaj, z dala<nl>od swoich rodzin i toczących się wojen.","De siste uglene samlet seg her, <30>langt vekk fra verdens kriger og sult.","Gelditzen ziren azken hontzak hemen elkartu ziren,<nl>beste lekuetako gosete eta gerretatik urruti.",Dungeon3/book3,94
,Alphonse,"The Great Relics, that were used<nl>to create the Hex, were reforged.",ヘクスを生むために使われた、大いなる秘宝が、<nl>ふたたび鍛えあげられた。,헥스를 창조하기 위해 사용되었던 위대한<nl>유물은 다시 재련돼 복구되어 있었다.,用来创造那条魔法的<nl>伟大圣物被重铸。,"Великие реликвии, которые использовались<nl>для Колдовства, перековали там.","La Grandi Reliquie, utilizzate per creare il Rito, furono riforgiate.","Erlikia Handiak, Konjurua sortzeko<nl>erabili zirenak, berriro forjatu ziren.",Die für den Zauber verwendeten großen Relikte<nl>wurden neu geschaffen.,"As Grandes Relíquias, que foram usadas<nl>para criar a Maldição, foram forjadas novamente.","Los Grandes Reliquias, que se utilizaron<nl>para crear el Ritual, se forjaron de nuevo.",用來創造那條魔法的<nl>偉大聖物被重鑄。,"Wykuto na nowo Wielkie Relikwie, których<nl>wcześniej użyto do stworzenia Magicznej Machiny.","De kraftige <b>Vådestenene<b>, skapt for å fullføre <b>Brytelsen<b>, ble omdannet.","Erlikia Handiak, Konjurua sortzeko<nl>erabili zirenak, berriro forjatu ziren.",Dungeon3/book3,94
,Alphonse,For the Owls were preparing <b>another Hex<b>.,<b>別のヘクス<b>を起動するために。,남은 아울들이 <b>새로운 헥스<b>를 준비하였던 것이다.,因为猫头鹰们准备使用<b>另一条魔法<b>。,Ибо совы готовили <b>другое Колдовство<b>.,I Gufi stavano preparando <b>un nuovo Rito<b>.,"Izan ere, hontzak <b>beste Konjuru bat<b> ari ziren prestatzen.",Denn die Eulen bereiteten <b>einen weiteren Zauber<b> vor.,Pois as Corujas estavam preparando <b>outra Maldição<b>.,Los búhos estaban preparando un <b>nuevo Ritual<b>.,因為貓頭鷹們準備使用<b>另一條魔法<b>。,Sowy przygotowywały bowiem kolejną <b>Magiczną Machinę<b>.,Uglene har forberedt en ny <b>Brytelse<b>.,"Izan ere, hontzak <b>beste Konjuru bat<b> ari ziren prestatzen.",Dungeon3/book3,94
,Alphonse,"Greater than the last, this <b>new Hex<b> would<nl>send the new world crashing downwards.",より強力な<b>新しいヘクス<b>が、<nl>世界を地上へと押しもどし...,실패하였던 과거보다 더욱 거대할 <b>새로운 헥스<b>는<nl>새롭게 만들어진 세상을 다시금 산산조각 낼 것이다.,这条<b>新魔法<b>比上一条更强大，将<nl>使新世界坠落。,Оно должно было пересилить предыдущее. <b>Новое Колдовство<b><nl>обрушило бы новый мир.,"Più grande e potente del primo, <b>questo nuovo Rito<b><nl>avrebbe fatto schiantare a terra il nuovo mondo.",Aurrekoa baino boteretsuagoa zen <b>Konjuru berri<b> honek<nl>mundu berriaren behin betiko erorketa eragingo zuen.,Dieser <b>neue Zauber<b> sollte größer als der vorherige sein<nl>und die Welt in die Tiefe stürzen.,"Maior do que a última, esta <b>nova Maldição<b> faria<nl>com que o novo mundo caísse.","Este <b>nuevo Ritual<b> era más grande y poderoso que el primero, y pondría el nuevo mundo patas arriba.",這條<b>新魔法<b>比上一條更強大，將<nl>使新世界墜落。,"<b>Nowa Magiczna Machina<b>, potężniejsza od poprzedniej,<nl>miała zniszczyć nowy świat.","Om denne nye Brytelsen fungerer, vil<nl>den kræsjer vår verden nedover.",Aurrekoa baino boteretsuagoa zen <b>Konjuru berri<b> honek<nl>mundu berriaren behin betiko erorketa eragingo zuen.,Dungeon3/book3,105
,Alphonse,And<10>.<10>.<10>. And bring the world under the Owls' control once again.,<10>.<10>.<10>.ふたたび、フクロウ族の支配が始まると考えられた。,그리고<10>…<10>… 그리고 이 세상을 아울들이 다시 지배하게 될 것이다.,而且<10>.<10>.<10>.而且让这个世界重新回到猫头鹰们的控制之中。,И<10>.<10>.<10>. И вновь восстановило бы владычество сов над миром.,E<10>.<10>.<10>. E avrebbe riportato il mondo sotto il controllo dei Gufi.,Eta<10>.<10>.<10>. Eta mundua hontzen kontrolpean jarriko zuen berriro ere.,Und <10>.<10>.<10>. Und er sollte den Eulen wieder die Kontrolle über die Welt verschaffen.,E<10>.<10>.<10>. E colocaria o mundo nas mãos das Corujas novamente.,Y.<10>.<10>. Y haría que el mundo volviera a estar bajo el control de los búhos.,而且<10>.<10>.<10>.而且讓這個世界重新回到貓頭鷹們的控制之中。,I<10>.<10>.<10>. I ponownie oddać go we władanie sów.,Og<10>.<10>.<10>. vil bringe verden under uglenes kontroll på nytt.,Eta<10>.<10>.<10>. Eta mundua hontzen kontrolpean jarriko zuen berriro ere.,Dungeon3/book3,105
,Mechanic,...,...,…,……,...,...,...,...,...,...,……,...,...,...,Dungeon3/book3,129
,Alphonse,...,...,…,……,...,...,...,...,...,...,……,...,...,...,Dungeon3/book3,134
,Spiderguy,...,...,…,……,...,...,...,...,...,...,……,...,...,...,Dungeon3/book3,139
,Mechanic,So that's the truth he wasn't telling us.,なら、これが隠されていた真実か。,이게 바로 솔루스가 숨겨왔던 진실이구나.,所以这就是他没告诉我们的真相。,"Вот она, правда, которую он не хотел нам рассказать.",Ecco cosa non ci ha raccontato.,"Beraz, hau da kontatu nahi ez zigun egia.","Das ist also die Wahrheit, die er uns nicht erzählen wollte.",Então essa era a verdade que ele não estava nos contando.,Así que esa es la verdad que nos ocultaba.,所以這就是他沒告訴我們的真相。,"Więc to jest ta prawda, o której nam nie mówił.",Så det er <b>sannheten<b> Solus ikke har fortalt oss!,"Beraz, hau da kontatu nahi ez zigun egia.",Dungeon3/book3,148
,Mechanic,He's been making the ancient Owls out<nl>to be heroes and scholars and whatnot...,ソラスは古代フクロウ族を<nl>英雄のようにほめたたえて...,언제는 고대 아울들은<nl>영웅이었다느니 현자였다느니 말했으면서…,他一直将古代猫头鹰们粉饰成<nl>英雄、学者和类似的……,"Он выставлял древних сов<nl>героями, учеными...",Ci ha sempre descritto gli antichi<nl>Gufi come eroi e studiosi...,"Etengabe zioen antzinako hontzak zirela<nl>heroiak, jakintsuak, eta nik-zer-dakit-nolakoak...","Er tat so, als ob die alten Eulen Helden und<nl>Gelehrte und sonst was gewesen wären ...","Ele tem mostrado as Corujas antigas como<nl>heróicas e estudiosas, etc...",Siempre ha descrito a los antiguos búhos<nl>como héroes y eruditos y todo eso...,他一直將古代貓頭鷹們粉飾成<nl>英雄、學者和類似的……,"Opowiadał, jakie to prastare sowy<nl>były bohaterskie, uczone i tak dalej...","Han prøver å sette uglene i godt lys, som om de var helter...","Etengabe zioen antzinako hontzak zirela<nl>heroiak, jakintsuak, eta nik-zer-dakit-nolakoak...",Dungeon3/book3,148
,Mechanic,"And in reality he's going to use the<nl>relics for power, just like Molstrom.",実際には秘宝の力がほしかっただけ。<nl>モルストロムと同じように。,사실 유물의 힘을<nl>몰스트롬처럼 사용할 생각이었던 거야.,但实际上他想利用<nl>圣物获取权力，就像Molstrom。,"А на самом деле ему просто нужны реликвии<nl>ради владычества над миром, как Мольстрому.","Mentre in realtà vuole usare<nl>le reliquie per avere più potere,<nl>proprio come Molstrom!","Baina bere benetako asmoa da<nl>erlikiak boterea lortzeko erabiltzea, Molstromek bezala.","Und in Wirklichkeit will er die Relikte für Macht<nl>verwenden, genau wie Molstrom.","Mas na verdade elas queriam usar as<nl>relíquias para poder próprio, exatamente como o Molstrom.","Pero en realidad desea utilizar las<nl>Reliquias para obtener poder, lo mismo que Molstrom.",但實際上他想利用<nl>聖物獲得權力，就像Molstrom。,"A naprawdę chce użyć relikwii<nl>dla zdobycia władzy, tak samo jak Molstrom.","Men egentlig kommer Solus til å <b>bruke Vådestenene<b>, akkurat slik som Malstrøm!","Baina bere benetako asmoa da<nl>erlikiak boterea lortzeko erabiltzea, Molstromek bezala.",Dungeon3/book3,158
,Mechanic,I knew it!,やっぱりな！,이럴 줄 알았다니까!,我就知道！,Я так и знал!,Lo sapevo!,Banekien!,Ich wusste es doch!,Sabia!,¡Lo sabía!,我就知道！,Wiedziałem!,Jeg burde ha skjønt det!,Banekien!,Dungeon3/book3,158
,Alphonse,We have no choice now.,ならば致し方あるまい。,이제 선택의 여지가 없네.,我们现在别无选择。,Теперь у нас нет выбора.,Non abbiamo scelta.,Orain ez dugu beste aukerarik.,Wir haben jetzt keine Wahl.,Não temos escolha agora.,No tenemos elección.,我們現在別無選擇。,Teraz nie mamy wyboru.,Vi har ikke noe valg.,Orain ez dugu beste aukerarik.,Dungeon3/book3,171
,Alphonse,We shall have to stop him ourselves.,われらでソラスを止めねばならん。,우리가 그를 직접 막아야만 하네.,我们必须亲自阻止他。,Нам придется его остановить.,Toccherà a noi fermarlo.,Geuk geldiarazi beharko dugu.,Wir müssen ihn selbst aufhalten.,Teremos que impedí-lo sozinhos.,Deberíamos haberlo detenido.,我們必須親自阻止他。,Będziemy musieli sami go powstrzymać.,Vi må stoppe Solus på egen hånd.,Geuk geldiarazi beharko dugu.,Dungeon3/book3,180
,Spiderguy,Yeah.<10>.<10>.<20> We're the only ones up here.,だナ.<10>.<10>.<20>ほかには誰もいないし。,그래<10>…<10>… <20>여긴 우리 밖에 없으니까 말이야.,对。<10>.<10>.<20>我们是仅存的人了。,Ага.<10>.<10>.<20> Кроме нас некому.,Già.<10>.<10>.<20> Siamo soli quassù.,Bai.<10>.<10>.<20> Hemen goian gauden bakarrak gara.,Ja.<10>.<10>.<20> Wir sind die einzigen hier oben.,Sim.<10>.<10>.<20> Somos os únicos por aqui.,Sí.<10>.<10>.<20> Somos los únicos aquí arriba.,對.<10>.<10>.<20>我們是僅存的人了。,Tak.<10>.<10>.<20> Tylko my tu jesteśmy.,Ja.<10>.<10>.<20> Vi er de eneste som er her oppe.,Bai.<10>.<10>.<20> Hemen goian gauden bakarrak gara.,Dungeon3/book3,189
,Mechanic,...,...,…,……,...,...,...,...,...,...,……,...,...,...,Dungeon3/book3,193
,Alphonse,...,...,…,……,...,...,...,...,...,...,……,...,...,...,Dungeon3/book3,198
,Spiderguy,...,...,…,……,...,...,...,...,...,...,……,...,...,...,Dungeon3/book3,203
,Mechanic,Let's go!<20> There's no time to waste!,急ごう！<20>もう時間がない！,가자! <20>주저할 시간이 없어!,走吧！<20>没时间浪费了！,Тогда вперед!<20> Нельзя терять время!,Avanti!<20> Non abbiamo tempo da perdere!,Goazen!<20> Ez dugu galtzeko denborarik!,Auf geht's!<20> Es gibt keine Zeit zu verschwenden!,Vamos!<20> Não podemos perder tempo!,¡Vamos!<20> ¡No hay tiempo que perder!,走吧！<20>沒時間浪費了！,Chodźmy!<20> Nie ma czasu do stracenia!,La oss dra!<20> Vi har ingen tid å miste!,Goazen!<20> Ez dugu galtzeko denborarik!,Dungeon3/book3,212
,Mechanic,Otus!,オータス！,오투스!,Otus！,Отус!,Otus!,Otus!,Otus!,Otus!,¡Otus!,Otus！,Otusie!,Otus!,Otus!,Dungeon3/overAbyss,69
,Mechanic,"Get up, buddy! <30>We're not at the end just yet!",起きろ、オータス！<30>まだ終わってない！,"일어나, 친구! <30>여기서 끝나긴 이르잖아!",起来，伙计！<30>我们还没走到呢！,"Вставай, приятель! <30>Мы еще не все сделали!","Alzati, amico! <30>Non siamo ancora arrivati alla fine!","¡Levántate, amigo! <30>¡Todavía no hemos llegado al final!","Auf mit dir, Kumpel! <30>Wir sind noch nicht am Ende!","Levante-se, amigo! <30>Ainda não acabou!","¡Levántate, amigo! <30>¡Todavía no hemos llegado al final!",起來，夥計！<30>我們還沒走到呢！,"Wstawaj, stary! <30>To jeszcze nie koniec!",Opp å stå kompis! <30>Vi er ikke ved enden enda!,"Altxa, laguna! <30>Oraindik ez gara amaierara heldu!",Dungeon3/overAbyss,80
,Mechanic,There you go!,さっすが！,잘했어!,听好了！,Вот так!,"Oh, bene!",¡Vamos allá!,Bitte sehr!,Aqui vai!,¡Vamos allá!,聽好了！,Idziemy!,Slik ja!,Hori da!,Dungeon3/overAbyss,101
,Mechanic,"OK guys, let's keep moving<5>.<5>.<5>.",よし、先へ進もう<5>.<5>.<5>.,좋아. 그럼 다들 어서 움직이자<5>…<5>…,好的伙计们，让我们继续前进<5>.<5>.<5>.,"Так, ребята, будем двигаться дальше<5>.<5>.<5>.","D'accordo, gente, continuiamo a muoverci<5>.<5>.<5>.","Vamos, chicos, sin descanso<5>.<5>.<5>.","Okay, Leute, lasst uns weitergehen <5>.<5>.<5>.","OK pessoal, vamos nessa<5>.<5>.<5>.","Vamos, chicos, sin descanso<5>.<5>.<5>.",好的夥計們，讓我們繼續前進<5>.<5>.<5>.,"Dobra, ruszamy<5>.<5>.<5>.","OK folkens, la oss komme oss av gårde<5>.<5>.<5>.","Ongi, mutilok, jarrai dezagun aurrera<5>.<5>.<5>.",Dungeon3/overAbyss,113
,hero,I <20>see you...,<20>見えるぞ...,네가 <20>보이는군…,我<20>看到你们了……,Я <20>вижу тебя...,Posso <20>vederti...,Te <20>veo...,Ich <20>seh dich ...,Estou <20>te vendo...,Te <20>veo...,我<20>看到你們了……,Do <20>zobaczenia...,Jeg <20>kan se deg...,I<20>kusten zaitut...,GoldenCoins/D2,14
,hero,Did my machines and theories break the Loop at last?,わが装置と理論がついにループをたち切ったか？,나의 장치와 이론이 루프를 파괴한 것인가?,我的机器和理论最终打破循环了吗？,"Удалось ли моим машинам и теориям разорвать Петлю, наконец?",Le mie teorie e le mie macchine hanno spezzato il Ciclo?,¿Mi teoría y mis máquinas por fin han roto el Bucle?,Haben meine Maschinen und Theorien die<nl>Schleife endlich gebrochen?,As minhas máquinas e teorias finalmente romperam o Ciclo?,¿Mi teoría y mis máquinas por fin han roto el Bucle?,我的機器和理論最終打破循環了嗎？,Czy moje machiny i teorie doprowadziły w końcu do przerwania Pętli?,Ble <b>Løkken<b> endelig brutt av mine maskinerier?,Nire makinek eta teoriek azkenik Begizta hautsi dute?,GoldenCoins/D2,20
,hero,Did I break the world?,世界は滅びたか？,나는 세상을 파괴해버린 것인가?,我打破这个世界了吗？,Разорвал ли я мир?,O a causa mia il mondo è stato distrutto?,¿O he destruido el mundo?,Habe ich die Welt gebrochen?,Eu quebrei o mundo?,¿O he destruido el mundo?,我打破這個世界了嗎？,Czy zniszczyłem świat?,Brøt jeg opp verden?,Mundua hautsi dut?,GoldenCoins/D2,26
,hero,"With this token, you hold the key.",このトークンが鍵となろう。,"이 토큰으로, 너는 열쇠를 쥐었다.",有了这个令牌，你就相当于有了钥匙。,С этой монетой ты получаешь ключ.,Questo amuleto ti aprirà la via.,"Con este símbolo, tienes la llave.",Mit diesem Zeichen hältst du den Schlüssel!,"Com esta ficha, você terá a chave.","Con este símbolo, tienes la llave.",有了這個權杖，你就相當於有了鑰匙。,Ta moneta jest kluczem.,Ta denne nøkkelen.,"Ikur honekin, zeuk duzu giltza.",GoldenCoins/D2,32
,hero,The Sanctuary beckons you.,聖域が呼んでいる。,안식처가 너를 부른다.,圣所在召唤你们。,Святилище призывает тебя.,Il Santuario ti chiama.,El Santuario te está llamando.,Die Zuflucht winkt dir zu.,O Santuário é adequado para você.,El Santuario te está llamando.,聖所在召喚你們。,Sanktuarium przyzywa cię.,<b>Arkivet<b> venter på deg.,Santutegia deika duzu.,GoldenCoins/D2,38
,hero,"Give me the answers I, <20>Noctae of the owls, have always sought.",この私、<20>フクロウのノクタイが求めつづけた答えをさずけよ。,이 아울들의 녹태가 항상 추구해왔던 <20>답을 알려다오.,"告诉我，我，<20>猫头鹰的Noctae,一直在寻求的答案。","Дай же мне ответы, в которых нуждаюсь я, <20>Ноктай из рода сов.","Dammi le risposte che io,<20> Noctae dei gufi, ho sempre cercato.","Dame las respuestas que yo, <20>Noctae de los búhos, siempre he buscado.","Gib mir die Antworten, die ich, <20>die Eule Noctae,<nl>schon immer gesucht habe!","Dê as respostas que eu, <20>Noctae das corujas, sempre quis.","Dame las respuestas que yo, <20>Noctae de los búhos, siempre he buscado.","告訴我，我，<20>貓頭鷹的Noctae,一直在尋求的答案。","Udziel mi odpowiedzi, której ja, <20>Noctae z rodu sów, od dawien dawna poszukuję.","Gi meg svaret, jeg, <20>Noktae av uglene, <20>alltid har søkt.","Emazkidazu nik, <20>hontzen Noctae-ak, beti bilatu ditudan erantzunak.",GoldenCoins/D2,44
,Mechanic,"Oh man, where are we rising to?!",いやあ、どこまで上がるのぉ？！,"이런, 대체 어디로 올라가는 거야?",天哪，我们碰到了什么？！,"Вот блин, куда же мы поднимаемся?!","Oh, cavolo, dove stiamo andando!?","O, motel, nora ari gara igotzen?!","Oh Mann, wohin hebt es uns?!","Oh cara, onde viemos parar?","Jo, ¿adónde estamos subiendo?",天哪，我們碰到了什麼？！,"Hej, dokąd się wznosimy?!",Å nei! Hvor er det vi blir tatt!?,"O, motel, nora ari gara igotzen?!",Dungeon3/Elevator/elevatorChase2,64
,Alphonse,I think I can see the top<nl>of the tower above us.,塔の最上階が見えるぞ。,위에 이 탑의 꼭대기가 있는 것 같네.,我觉得我已经可以看到<nl>我们头上的塔顶了。,"Кажется, я вижу верхушку<nl>башни над нами.",Mi pare di vedere la cima<nl>della torre sopra di noi.,Me parece ver la parte superior<nl>de la torre por encima de nosotros.,"Ich glaube, ich kann die Spitze des<nl>Turms über uns sehen.",Acho que consigo ver o topo<nl>da torre acima de nós.,Me parece ver la parte superior<nl>de la torre por encima de nosotros.,我覺得我已經可以看到<nl>我們頭上的塔頂了。,Chyba widzę nad nami<nl>szczyt wieży.,Jeg tror jeg kan se toppen av tårnet.,Uste dut dorrearen goikaldea<nl>ikusten dudala.,Dungeon3/Elevator/elevatorChase2,73
,Alphonse,"If we stay on this platform, we could<nl>still make it to where Solus is hiding.",この橋に乗っていれば、ソラスの<nl>かくれ家へたどり着けるはずだ。,아마 이곳에 서 있으면<nl>솔루스가 숨어있는 장소로 갈 수 있을 걸세.,如果我们留在这个平台上，<nl>我们还是可以到Solus的藏身处去。,"Если мы останемся на этой платформе,<nl>сможем подняться туда, где прячется Солус.","Se restiamo su questa piattaforma, potremmo<nl>arrivare dove si sta nascondendo Solus.","Si nos quedamos en esta plataforma,<nl>podríamos llegar a donde se esconde Solus.","Wenn wir auf dieser Plattform bleiben, könnten wir es<nl>immer noch dorthin schaffen, wo Solus sich versteckt.","Se ficarmos nesta plataforma, ainda conseguiremos<nl>alcançar o local onde o Solus está se escondendo.","Si nos quedamos en esta plataforma,<nl>podríamos llegar a donde se esconde Solus.",如果我們留在這個平臺上，<nl>我們還是可以到Solus的藏身處去。,"Gdybyśmy zostali na tej platformie,<nl>moglibyśmy dotrzeć do miejsca, gdzie się ukrywa Solus.",Om vi blir på denne plattformen<nl>kan vi komme oss til Solus!,"Plataforma honetan gelditzen bagara,<nl>Solus ezkutatu den lekura irits gaitezkeela.",Dungeon3/Elevator/elevatorChase2,78
,Mechanic,Whoa!,うわっ！,아앗!,哇！,Ого!,Ehi!,¡Hala!,Oha!,Uoou!,¡Hala!,哇！,Ojej!,Wæ!,Uaa!,Dungeon3/Elevator/mainElevatorChase,52
,Mechanic,What's happening!?,どうなってんのぉ！？,대체 뭐가 어떻게 돼가고 있는 거야?!,发生了什么！？,Что происходит!?,Che succede?,¿Qué está pasando?,Was geschieht!?,O que está acontecendo!?,¿Qué está pasando?,發生了什麼！？,Co się dzieje!?,Hva skjer!?,Zer ari da gertatzen!?,Dungeon3/Elevator/mainElevatorChase,363
,Alphonse,...,...,…,……,...,...,...,...,...,...,……,...,...,...,Dungeon3/Elevator/mainElevatorChase,372
,Mechanic,AAAAAAHHH!,ひゃああああっ！,으아아아아아!,啊啊啊！,А-А-А-А-А!,AAAAAAHHH!,¡AAAAAAHHH!,AAAAAAHHH!,AAAAAAHHH!,¡AAAAAAHHH!,啊啊啊！,AAAAAAHHH!,ÅÅÅÅÅÅÅÅÅ!,AAAAAAAAA!,Dungeon3/Elevator/mainElevatorChase,401
,Mechanic,.<20>.<20>.,.<20>.<20>.,…<20>…,.<20>.<20>.,.<20>.<20>.,.<20>.<20>.,.<20>.<20>.,.<20>.<20>.,.<20>.<20>.,.<20>.<20>.,.<20>.<20>.,.<20>.<20>.,.<20>.<20>.,.<20>.<20>.,Dungeon3/Elevator/mainElevatorChase,515
,Mechanic,I <20>can't believe it.,し、<20>信じられない。,믿기지가 <20>않는군.,我简直<20>不敢相信。,Я <20>глазам своим не верю.,Non riesco <20>a crederci.,No <20>me lo puedo creer.,Ich <20>kann es nicht fassen!,Não <20>acredito.,No <20>me lo puedo creer.,我簡直<20>不敢相信。,Nie <20>wierzę.,Jeg <20>kan ikke fatte det!,Ezin <20>dut <20>sinetsi.,Dungeon3/Elevator/mainElevatorChase,520
,Alphonse,"I believe we are witnessing<nl><20>the end of the world, my friends.",われらは世界の終わりを<nl><20>目撃しているのだ、友よ。,"동료들이여, 아무래도 우리가 세상이 끝나는<nl><20>모습을 보고 있는 것 같네.",朋友们，我相信我们见证了<nl><20>世界的终结。,"Я полагаю, что мы наблюдаем<nl><20>конец света, друзья мои.","Credo che quella a cui stiamo assistendo<nl><20>sia la fine del mondo, amici miei.","Creo que estamos presenciando<nl><20>el fin del mundo, amigos.","Ich glaube, wir werden gerade Zeugen<nl><20>vom Ende der Welt, meine Freunde!","Acho que estamos testemunhando<nl><20>o fim do mundo, meus amigos.","Creo que estamos presenciando<nl><20>el fin del mundo, amigos.",朋友們，我相信我們見證了<nl><20>世界的終結。,"Moi przyjaciele, uważam, że jesteśmy<nl>świadkami <20>końca świata.","Jeg tror dette er slutten<20>, kjære venner.","Uste dut ikusten ari garena<nl><20>munduaren amaiera dela, lagunok.",Dungeon3/Elevator/mainElevatorChase,528
,Alphonse,"We ourselves are floating, <20>the<nl>floating continents are rising into space...",体が宙に浮かび、<20>陸地が宇宙へと<nl>舞いあがってゆく...,우리는 물론이고 <20>떠다니던 대륙들이<nl>모두 우주로 부상하는군…,我们自己在漂浮，<20>而<nl>漂浮大陆正在升向太空……,"Мы сами летим, <20>и<nl>парящие континенты поднимаются выше, в космос...",Siamo sospesi in aria e i continenti stessi<nl>stanno ascendendo verso lo spazio...,Estamos suspendidos en el aire y <20>los<nl>continentes flotantes están ascendiendo hacia el espacio...,"Wir selbst schweben, <20>die<nl>schwebenden Kontinente steigen ins All ...","Nós estamos flutuando, <20>os<nl>continentes flutuantes estão ascendendo para o espaço...",Estamos suspendidos en el aire y <20>los<nl>continentes flotantes están ascendiendo hacia el espacio...,我們自己在漂浮，<20>而<nl>漂浮大陸正在升向太空……,"My sami unosimy się w powietrzu, <20><nl>a dryfujące kontynenty wędrują w kosmos...","Vi svever, og de flytende kontinentene svever opp i rommet...","Gu airean flotatzen ari gara, <20>eta<nl>kontinente hegalariak espaziorantz goratzen dabiltza...",Dungeon3/Elevator/mainElevatorChase,528
,Alphonse,This <20>is the end.,これぞ<20>終えんなり。,이것이 <20>종말인가.,这就是<20>终结。,Это <20>конец.,È <20>la fine.,Es <20>el fin.,Das <20>ist das Ende!,Isto <20>é o fim.,Es <20>el fin.,這就是<20>終結。,To <20>jest koniec.,Dette<20> er slutten.,Hau <20>da amaiera.,Dungeon3/Elevator/mainElevatorChase,528
,Mechanic,It's happening so suddenly...,突然こんなことになって...,이렇게나 갑작스럽게…,发生得太突然了……,Все так неожиданно...,Sta succedendo così in fretta...,Está sucediendo tan rápido...,Es geschieht so plötzlich ...,Está acontecendo tão rapidamente...,Está sucediendo tan rápido...,發生得太突然了……,To się dzieje tak nagle...,Alt skjer så plutselig...,Hain bat-batean ari da gertatzen...,Dungeon3/Elevator/mainElevatorChase,538
,Mechanic,What has Solus done up there?!,ソラスは何をやったんだ？！,솔루스는 대체 위에서 뭘 한 거야?!,Solus在那上面做了什么？！,Что Солус наделал?!,Cosa accidenti sta facendo Solus lassù?!,¡¿Qué demonios hace Solus ahí arriba?!,Was hat Solus dort oben getan?!,O que o Solus fez lá em cima?!,¡¿Qué demonios hace Solus ahí arriba?!,Solus在那上面做了什麼？！,Co Solus tam zrobił?!,Hva er det Solus har gjort der oppe!?,Zer egin du Solusek hor goian?!,Dungeon3/Elevator/mainElevatorChase,538
,Spiderguy,Yeah!,そうサ！,그래!,没错！,Ага!,Già!,¡Sí!,"Ja, genau!",Sim!,¡Sí!,沒錯！,Tak!,Stemmer!,Hori da!,Dungeon3/Elevator/mainElevatorChase,544
,Spiderguy,"Whatever Solus is doing up<nl>there, we have to stop him.",ソラスが何をしようと、<nl>オイラたちで止めなきゃ。,솔루스가 위에서 뭘 하고 있던 간에<nl>우리가 반드시 막아야만 해.,不论Solus在那上面<nl>做了什么，我们都要去阻止他。,"Не знаю, что там делает Солус,<nl>но нам надо его остановить.","Qualunque cosa stia facendo Solus,<nl>dobbiamo fermarlo!","¡Sea lo que sea lo que está haciendo<nl>Solus, debemos detenerlo!","Was auch immer Solus dort oben tut,<nl>wir müssen ihn aufhalten!","O que quer que seja que o Solus está fazendo lá<nl>em cima, temos que impedir.","¡Sea lo que sea lo que está haciendo<nl>Solus, debemos detenerlo!",不論Solus在那上面<nl>做了什麼，我們都要去阻止他。,"Cokolwiek Solus tam robi,<nl>musimy go powstrzymać.",Vi må stoppe Solus!,"Solus hor goian egiten ari dena<nl>edozer dela ere, gelditu beharra dugu.",Dungeon3/Elevator/mainElevatorChase,544
